chr,geneStart,geneEnd,geneSymbol,citations,strand,transcriptName,geneId,geneType,geneName
chr15,25318252,25318349,SNORD116-3,3,+,union_100033415,100033415,snoRNA,"small nucleolar RNA, C/D box 116-3"
chr15,25304683,25304781,SNORD116-4,3,+,union_100033416,100033416,snoRNA,"small nucleolar RNA, C/D box 116-4"
chr15,25307478,25307575,SNORD116-5,3,+,union_100033417,100033417,snoRNA,"small nucleolar RNA, C/D box 116-5"
chr15,25312933,25313030,SNORD116-5,3,+,union_100033417,100033417,snoRNA,"small nucleolar RNA, C/D box 116-5"
chr15,25310171,25310269,SNORD116-6,4,+,union_100033418,100033418,snoRNA,"small nucleolar RNA, C/D box 116-6"
chr15,25307478,25307575,SNORD116-7,4,+,union_100033419,100033419,snoRNA,"small nucleolar RNA, C/D box 116-7"
chr15,25312933,25313030,SNORD116-7,4,+,union_100033419,100033419,snoRNA,"small nucleolar RNA, C/D box 116-7"
chr15,25315577,25315674,SNORD116-8,3,+,union_100033420,100033420,snoRNA,"small nucleolar RNA, C/D box 116-8"
chr15,25302005,25302102,SNORD116-9,3,+,union_100033421,100033421,snoRNA,"small nucleolar RNA, C/D box 116-9"
chr15,25318252,25318349,SNORD116-9,3,+,union_100033421,100033421,snoRNA,"small nucleolar RNA, C/D box 116-9"
chr15,25319259,25319363,SNORD116-10,3,+,union_100033422,100033422,snoRNA,"small nucleolar RNA, C/D box 116-10"
chr15,25321074,25321168,SNORD116-11,3,+,union_100033423,100033423,snoRNA,"small nucleolar RNA, C/D box 116-11"
chr15,25322196,25322290,SNORD116-12,3,+,union_100033424,100033424,snoRNA,"small nucleolar RNA, C/D box 116-12"
chr15,25324203,25324297,SNORD116-13,4,+,union_100033425,100033425,snoRNA,"small nucleolar RNA, C/D box 116-13"
chr15,25325287,25325381,SNORD116-14,4,+,union_100033426,100033426,snoRNA,"small nucleolar RNA, C/D box 116-14"
chr15,25326432,25326526,SNORD116-15,3,+,union_100033427,100033427,snoRNA,"small nucleolar RNA, C/D box 116-15"
chr15,25327913,25328007,SNORD116-16,3,+,union_100033428,100033428,snoRNA,"small nucleolar RNA, C/D box 116-16"
chr15,25328733,25328827,SNORD116-17,3,+,union_100033429,100033429,snoRNA,"small nucleolar RNA, C/D box 116-17"
chr15,25331672,25331766,SNORD116-17,3,+,union_100033429,100033429,snoRNA,"small nucleolar RNA, C/D box 116-17"
chr15,25330530,25330624,SNORD116-18,5,+,union_100033430,100033430,snoRNA,"small nucleolar RNA, C/D box 116-18"
chr15,25332807,25332901,SNORD116-20,4,+,union_100033431,100033431,snoRNA,"small nucleolar RNA, C/D box 116-20"
chr15,25333949,25334043,SNORD116-21,4,+,union_100033432,100033432,snoRNA,"small nucleolar RNA, C/D box 116-21"
chr15,25335068,25335162,SNORD116-22,4,+,union_100033433,100033433,snoRNA,"small nucleolar RNA, C/D box 116-22"
chr15,25336931,25337025,SNORD116-23,3,+,union_100033434,100033434,snoRNA,"small nucleolar RNA, C/D box 116-23"
chr15,25339182,25339276,SNORD116-24,4,+,union_100033435,100033435,snoRNA,"small nucleolar RNA, C/D box 116-24"
chr15,25342808,25342902,SNORD116-25,3,+,union_100033436,100033436,snoRNA,"small nucleolar RNA, C/D box 116-25"
chr15,25417781,25417863,SNORD115-2,7,+,union_100033437,100033437,snoRNA,"small nucleolar RNA, C/D box 115-2"
chr15,25344644,25344742,SNORD116-26,4,+,union_100033438,100033438,snoRNA,"small nucleolar RNA, C/D box 116-26"
chr15,25346720,25346814,SNORD116-27,4,+,union_100033439,100033439,snoRNA,"small nucleolar RNA, C/D box 116-27"
chr15,25420073,25420155,SNORD115-3,7,+,union_100033440,100033440,snoRNA,"small nucleolar RNA, C/D box 115-3"
chr15,25421978,25422060,SNORD115-4,7,+,union_100033441,100033441,snoRNA,"small nucleolar RNA, C/D box 115-4"
chr15,25423884,25423966,SNORD115-5,7,+,union_100033442,100033442,snoRNA,"small nucleolar RNA, C/D box 115-5"
chr15,25430780,25430859,SNORD115-5,7,+,union_100033442,100033442,snoRNA,"small nucleolar RNA, C/D box 115-5"
chr15,25436565,25436644,SNORD115-5,7,+,union_100033442,100033442,snoRNA,"small nucleolar RNA, C/D box 115-5"
chr15,25425643,25425725,SNORD115-6,7,+,union_100033443,100033443,snoRNA,"small nucleolar RNA, C/D box 115-6"
chr15,25427531,25427613,SNORD115-7,7,+,union_100033444,100033444,snoRNA,"small nucleolar RNA, C/D box 115-7"
chr15,25429452,25429534,SNORD115-8,7,+,union_100033445,100033445,snoRNA,"small nucleolar RNA, C/D box 115-8"
chr15,25423887,25423966,SNORD115-9,7,+,union_100033446,100033446,snoRNA,"small nucleolar RNA, C/D box 115-9"
chr15,25430777,25430859,SNORD115-9,7,+,union_100033446,100033446,snoRNA,"small nucleolar RNA, C/D box 115-9"
chr15,25436562,25436644,SNORD115-9,7,+,union_100033446,100033446,snoRNA,"small nucleolar RNA, C/D box 115-9"
chr15,25423887,25423966,SNORD115-10,7,+,union_100033447,100033447,snoRNA,"small nucleolar RNA, C/D box 115-10"
chr15,25430777,25430859,SNORD115-10,7,+,union_100033447,100033447,snoRNA,"small nucleolar RNA, C/D box 115-10"
chr15,25432682,25432763,SNORD115-10,7,+,union_100033447,100033447,snoRNA,"small nucleolar RNA, C/D box 115-10"
chr15,25436562,25436644,SNORD115-10,7,+,union_100033447,100033447,snoRNA,"small nucleolar RNA, C/D box 115-10"
chr15,25492491,25492573,SNORD115-10,7,+,union_100033447,100033447,snoRNA,"small nucleolar RNA, C/D box 115-10"
chr15,25434560,25434642,SNORD115-11,7,+,union_100033448,100033448,snoRNA,"small nucleolar RNA, C/D box 115-11"
chr15,25468392,25468474,SNORD115-11,7,+,union_100033448,100033448,snoRNA,"small nucleolar RNA, C/D box 115-11"
chr15,25481231,25481313,SNORD115-11,7,+,union_100033448,100033448,snoRNA,"small nucleolar RNA, C/D box 115-11"
chr15,25494344,25494426,SNORD115-11,7,+,union_100033448,100033448,snoRNA,"small nucleolar RNA, C/D box 115-11"
chr15,25423887,25423966,SNORD115-12,7,+,union_100033449,100033449,snoRNA,"small nucleolar RNA, C/D box 115-12"
chr15,25430777,25430859,SNORD115-12,7,+,union_100033449,100033449,snoRNA,"small nucleolar RNA, C/D box 115-12"
chr15,25436562,25436644,SNORD115-12,7,+,union_100033449,100033449,snoRNA,"small nucleolar RNA, C/D box 115-12"
chr15,25438467,25438549,SNORD115-13,7,+,union_100033450,100033450,snoRNA,"small nucleolar RNA, C/D box 115-13"
chr15,25440067,25440148,SNORD115-14,7,+,union_100033451,100033451,snoRNA,"small nucleolar RNA, C/D box 115-14"
chr15,25451408,25477615,SNORD115-15,7,+,union_100033453,100033453,snoRNA,"small nucleolar RNA, C/D box 115-15"
chr15,25444594,25444676,SNORD115-16,7,+,union_100033454,100033454,snoRNA,"small nucleolar RNA, C/D box 115-16"
chr15,25446469,25446551,SNORD115-17,7,+,union_100033455,100033455,snoRNA,"small nucleolar RNA, C/D box 115-17"
chr15,25448373,25448455,SNORD115-17,7,+,union_100033455,100033455,snoRNA,"small nucleolar RNA, C/D box 115-17"
chr15,25449503,25449585,SNORD115-17,7,+,union_100033455,100033455,snoRNA,"small nucleolar RNA, C/D box 115-17"
chr15,25446469,25446551,SNORD115-18,7,+,union_100033456,100033456,snoRNA,"small nucleolar RNA, C/D box 115-18"
chr15,25448373,25448455,SNORD115-18,7,+,union_100033456,100033456,snoRNA,"small nucleolar RNA, C/D box 115-18"
chr15,25449503,25449585,SNORD115-18,7,+,union_100033456,100033456,snoRNA,"small nucleolar RNA, C/D box 115-18"
chr15,25446469,25446551,SNORD115-19,7,+,union_100033458,100033458,snoRNA,"small nucleolar RNA, C/D box 115-19"
chr15,25448373,25448455,SNORD115-19,7,+,union_100033458,100033458,snoRNA,"small nucleolar RNA, C/D box 115-19"
chr15,25449503,25449585,SNORD115-19,7,+,union_100033458,100033458,snoRNA,"small nucleolar RNA, C/D box 115-19"
chr15,25451408,25451490,SNORD115-20,7,+,union_100033460,100033460,snoRNA,"small nucleolar RNA, C/D box 115-20"
chr15,25451408,25477615,SNORD115-21,7,+,union_100033603,100033603,snoRNA,"small nucleolar RNA, C/D box 115-21"
chr15,25455064,25455146,SNORD115-22,7,+,union_100033799,100033799,snoRNA,"small nucleolar RNA, C/D box 115-22"
chr15,25456942,25457024,SNORD115-23,7,+,union_100033800,100033800,snoRNA,"small nucleolar RNA, C/D box 115-23"
chr15,25460687,25460769,SNORD115-25,7,+,union_100033801,100033801,snoRNA,"small nucleolar RNA, C/D box 115-25"
chr15,25463763,25463845,SNORD115-26,7,+,union_100033802,100033802,snoRNA,"small nucleolar RNA, C/D box 115-26"
chr15,25434560,25434642,SNORD115-29,7,+,union_100033803,100033803,snoRNA,"small nucleolar RNA, C/D box 115-29"
chr15,25468392,25468474,SNORD115-29,7,+,union_100033803,100033803,snoRNA,"small nucleolar RNA, C/D box 115-29"
chr15,25481231,25481313,SNORD115-29,7,+,union_100033803,100033803,snoRNA,"small nucleolar RNA, C/D box 115-29"
chr15,25494344,25494426,SNORD115-29,7,+,union_100033803,100033803,snoRNA,"small nucleolar RNA, C/D box 115-29"
chr15,25470349,25470431,SNORD115-30,7,+,union_100033804,100033804,snoRNA,"small nucleolar RNA, C/D box 115-30"
chr15,25472255,25472337,SNORD115-31,7,+,union_100033805,100033805,snoRNA,"small nucleolar RNA, C/D box 115-31"
chr15,25474113,25474195,SNORD115-32,7,+,union_100033806,100033806,snoRNA,"small nucleolar RNA, C/D box 115-32"
chr15,25475984,25476066,SNORD115-33,7,+,union_100033807,100033807,snoRNA,"small nucleolar RNA, C/D box 115-33"
chr15,25477533,25477615,SNORD115-34,7,+,union_100033808,100033808,snoRNA,"small nucleolar RNA, C/D box 115-34"
chr15,25479393,25479475,SNORD115-35,7,+,union_100033809,100033809,snoRNA,"small nucleolar RNA, C/D box 115-35"
chr15,25434560,25434642,SNORD115-36,7,+,union_100033810,100033810,snoRNA,"small nucleolar RNA, C/D box 115-36"
chr15,25468392,25468474,SNORD115-36,7,+,union_100033810,100033810,snoRNA,"small nucleolar RNA, C/D box 115-36"
chr15,25481231,25481313,SNORD115-36,7,+,union_100033810,100033810,snoRNA,"small nucleolar RNA, C/D box 115-36"
chr15,25494344,25494426,SNORD115-36,7,+,union_100033810,100033810,snoRNA,"small nucleolar RNA, C/D box 115-36"
chr15,25483132,25483214,SNORD115-37,7,+,union_100033811,100033811,snoRNA,"small nucleolar RNA, C/D box 115-37"
chr15,25484984,25485066,SNORD115-38,7,+,union_100033812,100033812,snoRNA,"small nucleolar RNA, C/D box 115-38"
chr15,25486892,25486974,SNORD115-39,7,+,union_100033813,100033813,snoRNA,"small nucleolar RNA, C/D box 115-39"
chr15,25488760,25488842,SNORD115-40,7,+,union_100033814,100033814,snoRNA,"small nucleolar RNA, C/D box 115-40"
chr15,25490624,25490706,SNORD115-41,7,+,union_100033815,100033815,snoRNA,"small nucleolar RNA, C/D box 115-41"
chr15,25492491,25492573,SNORD115-42,7,+,union_100033816,100033816,snoRNA,"small nucleolar RNA, C/D box 115-42"
chr15,25434560,25434642,SNORD115-43,7,+,union_100033817,100033817,snoRNA,"small nucleolar RNA, C/D box 115-43"
chr15,25468392,25468474,SNORD115-43,7,+,union_100033817,100033817,snoRNA,"small nucleolar RNA, C/D box 115-43"
chr15,25481231,25481313,SNORD115-43,7,+,union_100033817,100033817,snoRNA,"small nucleolar RNA, C/D box 115-43"
chr15,25494344,25494426,SNORD115-43,7,+,union_100033817,100033817,snoRNA,"small nucleolar RNA, C/D box 115-43"
chr15,25496005,25496087,SNORD115-44,7,+,union_100033818,100033818,snoRNA,"small nucleolar RNA, C/D box 115-44"
chr11,2017988,2018061,MIR675,27,-,union_100033819,100033819,ncRNA,microRNA 675
chr15,25349787,25349880,SNORD116-28,3,+,union_100033820,100033820,snoRNA,"small nucleolar RNA, C/D box 116-28"
chr15,25351666,25351751,SNORD116-29,4,+,union_100033821,100033821,snoRNA,"small nucleolar RNA, C/D box 116-29"
chr15,25514929,25515005,SNORD115-48,7,+,union_100033822,100033822,snoRNA,"small nucleolar RNA, C/D box 115-48"
chr1,145924387,145945477,PDZK1P1,2,-,union_100034743,100034743,pseudo,PDZ domain containing 1 pseudogene 1
chr1,147466093,147487188,PDZK1P1,2,-,union_100034743,100034743,pseudo,PDZ domain containing 1 pseudogene 1
chr15,25458805,25458876,SNORD115-24,2,+,union_100036563,100036563,snoRNA,"small nucleolar RNA, C/D box 115-24"
chr15,25465649,25465725,SNORD115-27,2,+,union_100036564,100036564,snoRNA,"small nucleolar RNA, C/D box 115-27"
chr15,25467500,25467574,SNORD115-28,2,+,union_100036565,100036565,snoRNA,"small nucleolar RNA, C/D box 115-28"
chr15,25509673,25509726,SNORD115-45,2,+,union_100036566,100036566,snoRNA,"small nucleolar RNA, C/D box 115-45"
chr15,25513663,25513696,SNORD115-47,2,+,union_100036567,100036567,snoRNA,"small nucleolar RNA, C/D box 115-47"
chr22,24309025,24314748,DDTL,10,+,union_100037417,100037417,protein-coding,D-dopachrome tautomerase like
chr10,102849077,102901023,TLX1NB,4,-,union_100038246,100038246,ncRNA,TLX1 neighbor
chr11,64812294,64826009,NAALADL1,5,-,union_10004,10004,protein-coding,N-acetylated alpha-linked acidic dipeptidase like 1
chr9,21994789,22121093,CDKN2B-AS1,137,+,union_100048912,100048912,ncRNA,CDKN2B antisense RNA 1
chr5,69812078,69851150,GUSBP9,4,-,union_100049076,100049076,pseudo,"glucuronidase, beta pseudogene 9"
chr5,70516052,70555122,GUSBP9,4,-,union_100049076,100049076,pseudo,"glucuronidase, beta pseudogene 9"
chr19,52145805,52150132,SIGLEC14,8,-,union_100049587,100049587,protein-coding,sialic acid binding Ig like lectin 14
chr12,740056,755044,LOC100049716,3,+,union_100049716,100049716,ncRNA,-
chr20,44470359,44486048,ACOT8,37,-,union_10005,10005,protein-coding,acyl-CoA thioesterase 8
chr10,27035524,27150016,ABI1,86,-,union_10006,10006,protein-coding,abl interactor 1
chr5,141380233,141392620,GNPDA1,28,-,union_10007,10007,protein-coding,glucosamine-6-phosphate deaminase 1
chr19,57352269,57359922,MIMT1,2,+,union_100073347,100073347,ncRNA,MER1 repeat containing imprinted transcript 1 (non-protein coding)
chr11,74165885,74178600,KCNE3,43,-,union_10008,10008,protein-coding,potassium voltage-gated channel subfamily E regulatory subunit 3
chrX,119384606,119392251,ZBTB33,66,+,union_10009,10009,protein-coding,zinc finger and BTB domain containing 33
chr4,119199916,119200978,SNHG8,5,+,union_100093630,100093630,ncRNA,small nucleolar RNA host gene 8
chr7,72569011,72621336,GTF2IP4,6,+,union_100093631,100093631,pseudo,general transcription factor IIi pseudogene 4
chr7,74601103,74653459,GTF2IP4,6,-,union_100093631,100093631,pseudo,general transcription factor IIi pseudogene 4
chrX,13328770,13338052,GS1-600G8.3,1,+,union_100093698,100093698,ncRNA,-
chr16,68678738,68732970,CDH3,109,+,union_1001,1001,protein-coding,cadherin 3
chr2,161993465,162092683,TANK,75,+,union_10010,10010,protein-coding,TRAF family member associated NFKB activator
chrY,6311474,6315118,TTTY21B,2,+,union_100101115,100101115,ncRNA,"testis-specific transcript, Y-linked 21B (non-protein coding)"
chrY,9555261,9558905,TTTY21B,2,-,union_100101115,100101115,ncRNA,"testis-specific transcript, Y-linked 21B (non-protein coding)"
chrY,6258441,6279605,TTTY1B,2,+,union_100101116,100101116,ncRNA,"testis-specific transcript, Y-linked 1B (non-protein coding)"
chrY,9590764,9611928,TTTY1B,2,-,union_100101116,100101116,ncRNA,"testis-specific transcript, Y-linked 1B (non-protein coding)"
chrY,9573894,9596085,TTTY2B,2,+,union_100101117,100101117,ncRNA,"testis-specific transcript, Y-linked 2B (non-protein coding)"
chrY,6274284,6296485,TTTY2B,2,-,union_100101117,100101117,ncRNA,"testis-specific transcript, Y-linked 2B (non-protein coding)"
chrY,9528708,9531308,TTTY8B,2,+,union_100101118,100101118,ncRNA,"testis-specific transcript, Y-linked 8B (non-protein coding)"
chrY,6339071,6341671,TTTY8B,2,-,union_100101118,100101118,ncRNA,"testis-specific transcript, Y-linked 8B (non-protein coding)"
chrY,6317508,6325947,TTTY7B,2,+,union_100101120,100101120,ncRNA,"testis-specific transcript, Y-linked 7B (non-protein coding)"
chrY,9544432,9552871,TTTY7B,2,-,union_100101120,100101120,ncRNA,"testis-specific transcript, Y-linked 7B (non-protein coding)"
chrY,9748406,9749571,TTTY23B,2,+,union_100101121,100101121,ncRNA,"testis-specific transcript, Y-linked 23B (non-protein coding)"
chrY,6110486,6111651,TTTY23B,2,-,union_100101121,100101121,ncRNA,"testis-specific transcript, Y-linked 23B (non-protein coding)"
chr7,72440212,72443674,LOC100101148,2,+,union_100101148,100101148,pseudo,-
chr7,75046059,75115565,POM121C,17,-,union_100101267,100101267,protein-coding,POM121 transmembrane nucleoporin C
chr7,72476602,72486904,PMS2P7,4,+,union_100101440,100101440,pseudo,"PMS1 homolog 2, mismatch repair system component pseudogene 7"
chr7,74977963,74988292,PMS2P7,4,-,union_100101440,100101440,pseudo,"PMS1 homolog 2, mismatch repair system component pseudogene 7"
chr18,32831021,32870209,ZSCAN30,7,-,union_100101467,100101467,protein-coding,zinc finger and SCAN domain containing 30
chrX,103230501,103232935,LOC100101478,2,+,union_100101478,100101478,pseudo,-
chrX,103315068,103317502,LOC100101478,2,-,union_100101478,100101478,pseudo,-
chrX,49188103,49313700,GAGE8,8,+,union_100101629,100101629,protein-coding,G antigen 8
chr13,19836939,19919113,ANKRD26P3,2,-,union_100101938,100101938,pseudo,ankyrin repeat domain 26 pseudogene 3
chr5,139929651,139937678,SRA1,70,-,union_10011,10011,protein-coding,steroid receptor RNA activator 1
chr20,2443597,2443693,SNORD119,2,-,union_100113378,100113378,snoRNA,"small nucleolar RNA, C/D box 119"
chr9,33952761,33952852,SNORD121A,2,-,union_100113379,100113379,snoRNA,"small nucleolar RNA, C/D box 121A"
chr22,29729151,29729247,SNORD125,3,-,union_100113380,100113380,snoRNA,"small nucleolar RNA, C/D box 125"
chr3,52724753,52724846,SNORD19B,3,+,union_100113381,100113381,snoRNA,"small nucleolar RNA, C/D box 19B"
chr19,10220424,10220516,SNORD105B,2,+,union_100113382,100113382,snoRNA,"small nucleolar RNA, C/D box 105B"
chr5,9548938,9549026,SNORD123,3,+,union_100113384,100113384,snoRNA,"small nucleolar RNA, C/D box 123"
chr20,62584736,62588338,UCKL1-AS1,3,+,union_100113386,100113386,ncRNA,UCKL1 antisense RNA 1
chr14,45580077,45580176,SNORD127,2,+,union_100113389,100113389,snoRNA,"small nucleolar RNA, C/D box 127"
chr14,20794599,20794698,SNORD126,3,-,union_100113391,100113391,snoRNA,"small nucleolar RNA, C/D box 126"
chr2,203156039,203156151,SNORD11B,2,+,union_100113392,100113392,snoRNA,"small nucleolar RNA, C/D box 11B"
chr20,47896849,47896952,SNORD12B,2,+,union_100113393,100113393,snoRNA,"small nucleolar RNA, C/D box 12B"
chr16,70563401,70563502,SNORD111B,4,+,union_100113402,100113402,snoRNA,"small nucleolar RNA, C/D box 111B"
chr9,13927969,13945606,LINC00583,2,+,union_100113404,100113404,ncRNA,long intergenic non-protein coding RNA 583
chr6,11538459,11583757,TMEM170B,1,+,union_100113407,100113407,protein-coding,transmembrane protein 170B
chr15,102495087,102496558,FAM138E,2,+,union_100124412,100124412,ncRNA,family with sequence similarity 138 member E
chr18,47015604,47015694,SNORD58C,3,-,union_100124516,100124516,snoRNA,"small nucleolar RNA, C/D box 58C"
chr6,8086640,8086766,SCARNA27,2,-,union_100124533,100124533,ncRNA,small Cajal body-specific RNA 27
chr9,95054742,95054875,SNORA84,2,-,union_100124534,100124534,snoRNA,"small nucleolar RNA, H/ACA box 84"
chr2,69747176,69747303,SNORA36C,2,-,union_100124535,100124535,snoRNA,"small nucleolar RNA, H/ACA box 36C"
chr17,65736785,65736917,SNORA38B,2,+,union_100124536,100124536,snoRNA,"small nucleolar RNA, H/ACA box 38B"
chr2,61644378,61644512,SNORA70B,2,-,union_100124537,100124537,snoRNA,"small nucleolar RNA, H/ACA box 70B"
chr9,119943344,119943480,SNORA70C,4,-,union_100124538,100124538,snoRNA,"small nucleolar RNA, H/ACA box 70C"
chr14,91592769,91592896,SNORA11B,2,+,union_100124539,100124539,snoRNA,"small nucleolar RNA, H/ACA box 11B"
chrX,47248048,47248175,SNORA11C,2,+,union_100124540,100124540,snoRNA,"small nucleolar RNA, H/ACA box 11C"
chrX,51933717,51933844,SNORA11D,2,+,union_100124541,100124541,snoRNA,"small nucleolar RNA, H/ACA box 11D"
chrX,51806442,51806569,SNORA11D,2,-,union_100124541,100124541,snoRNA,"small nucleolar RNA, H/ACA box 11D"
chr12,54356091,54368740,HOTAIR,179,-,union_100124700,100124700,ncRNA,HOX transcript antisense RNA
chr19,10415478,10420233,ZGLP1,6,-,union_100125288,100125288,protein-coding,"zinc finger, GATA-like protein 1"
chr3,125635443,125648867,FAM86JP,3,+,union_100125556,100125556,pseudo,"family with sequence similarity 86 member J, pseudogene"
chrX,146990948,146993335,FMR1-AS1,6,-,union_100126270,100126270,ncRNA,FMR1 antisense RNA 1 (head to head)
chr20,57393280,57393368,MIR298,4,-,union_100126296,100126296,ncRNA,microRNA 298
chr14,101507699,101507781,MIR300,9,+,union_100126297,100126297,ncRNA,microRNA 300
chr5,135416179,135416287,VTRNA2-1,29,-,union_100126299,100126299,ncRNA,vault RNA 2-1
chrX,146340277,146340368,MIR509-2,6,-,union_100126301,100126301,ncRNA,microRNA 509-2
chrX,146342052,146342143,MIR509-2,6,-,union_100126301,100126301,ncRNA,microRNA 509-2
chrX,133674214,133674292,MIR450B,6,-,union_100126302,100126302,ncRNA,microRNA 450b
chrX,145075792,145075869,MIR890,2,-,union_100126303,100126303,ncRNA,microRNA 890
chrX,145082570,145082649,MIR891B,2,-,union_100126304,100126304,ncRNA,microRNA 891b
chrX,145076301,145076378,MIR888,6,-,union_100126306,100126306,ncRNA,microRNA 888
chrX,145078715,145078792,MIR892B,6,-,union_100126307,100126307,ncRNA,microRNA 892b
chr14,101530831,101530915,MIR541,7,+,union_100126308,100126308,ncRNA,microRNA 541
chr8,100549013,100549089,MIR875,4,-,union_100126309,100126309,ncRNA,microRNA 875
chr9,28863623,28863704,MIR876,5,-,union_100126310,100126310,ncRNA,microRNA 876
chr15,45725247,45725327,MIR147B,7,+,union_100126311,100126311,ncRNA,microRNA 147b
chr17,11985215,11985313,MIR744,13,+,union_100126313,100126313,ncRNA,microRNA 744
chr6,30552108,30552194,MIR877,8,+,union_100126314,100126314,ncRNA,microRNA 877
chr14,101341369,101341441,MIR665,9,+,union_100126315,100126315,ncRNA,microRNA 665
chr9,28888876,28888953,MIR873,10,-,union_100126316,100126316,ncRNA,microRNA 873
chrX,73438381,73438453,MIR374B,12,-,union_100126317,100126317,ncRNA,microRNA 374b
chr22,22007269,22007347,MIR301B,12,+,union_100126318,100126318,ncRNA,microRNA 301b
chr2,56227848,56227930,MIR216B,11,-,union_100126319,100126319,ncRNA,microRNA 216b
chr12,24365354,24365429,MIR920,4,+,union_100126320,100126320,ncRNA,microRNA 920
chr3,197401366,197401447,MIR922,5,-,union_100126321,100126321,ncRNA,microRNA 922
chr18,37202086,37202139,MIR924,2,-,union_100126323,100126323,ncRNA,microRNA 924
chrX,135633036,135633119,MIR934,3,+,union_100126324,100126324,ncRNA,microRNA 934
chr19,54485560,54485651,MIR935,6,+,union_100126325,100126325,ncRNA,microRNA 935
chr10,105807846,105807944,MIR936,2,-,union_100126326,100126326,ncRNA,microRNA 936
chr10,29891192,29891275,MIR938,3,-,union_100126327,100126327,ncRNA,microRNA 938
chr16,2321747,2321841,MIR940,16,+,union_100126328,100126328,ncRNA,microRNA 940
chr20,62550801,62550873,MIR941-1,7,+,union_100126329,100126329,ncRNA,microRNA 941-1
chr20,62551025,62551124,MIR941-1,7,+,union_100126329,100126329,ncRNA,microRNA 941-1
chr20,62550913,62550985,MIR941-4,6,+,union_100126330,100126330,ncRNA,microRNA 941-4
chr20,62551108,62551180,MIR941-4,6,+,union_100126330,100126330,ncRNA,microRNA 941-4
chr20,62551220,62551292,MIR941-4,6,+,union_100126330,100126330,ncRNA,microRNA 941-4
chr1,117637264,117637350,MIR942,10,+,union_100126331,100126331,ncRNA,microRNA 942
chr4,1988110,1988204,MIR943,2,-,union_100126332,100126332,ncRNA,microRNA 943
chr11,79113065,79113153,MIR708,20,-,union_100126333,100126333,ncRNA,microRNA 708
chr3,10436172,10436246,MIR885,15,-,union_100126334,100126334,ncRNA,microRNA 885
chr14,101498323,101498401,MIR543,13,+,union_100126335,100126335,ncRNA,microRNA 543
chr14,23887195,23887272,MIR208B,17,-,union_100126336,100126336,ncRNA,microRNA 208b
chrX,146340282,146340358,MIR509-3,13,-,union_100126337,100126337,ncRNA,microRNA 509-3
chrX,146341169,146341244,MIR509-3,13,-,union_100126337,100126337,ncRNA,microRNA 509-3
chrX,146342057,146342133,MIR509-3,13,-,union_100126337,100126337,ncRNA,microRNA 509-3
chr8,144895126,144895212,MIR937,5,-,union_100126338,100126338,ncRNA,microRNA 937
chr20,62550913,62550985,MIR941-2,6,+,union_100126339,100126339,ncRNA,microRNA 941-2
chr20,62551108,62551180,MIR941-2,6,+,union_100126339,100126339,ncRNA,microRNA 941-2
chr20,62551220,62551292,MIR941-2,6,+,union_100126339,100126339,ncRNA,microRNA 941-2
chr3,189547710,189547798,MIR944,9,+,union_100126340,100126340,ncRNA,microRNA 944
chrX,145109311,145109390,MIR891A,3,-,union_100126341,100126341,ncRNA,microRNA 891a
